cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy
105,0.40888248,2493.18278126,0.249318278,0.5479954326920184,,,-0.00206772999999999,12.057552549999855,0.00017148836724983018,1019.4187586948863
106,0.40803808,2498.14262864,0.249814263,0.5462596807734814,,,-0.0008443999999999674,4.959847380000156,0.00017024717398253768,1019.3373217564188
107,0.403357,2526.02258043,0.252602258,0.5412806468799698,,,-0.004681080000000004,27.879951789999723,0.00016790129463248077,1018.8888899745035
108,0.39763851,2560.98997401,0.256098997,0.5355218954575054,,,-0.0057184900000000205,34.967393580000135,0.00016353778232722547,1018.3482373902751
109,0.39277289,2592.72744432,0.259272744,0.529865569539756,,,-0.004865620000000015,31.737470309999935,0.000153308375000311,1018.3530512878804
110,0.38272551,2658.35984041,0.265835984,0.5289676279217831,,,-0.010047379999999995,65.63239608999993,0.00015308568021909802,1017.4221256844357
111,0.37931205,2682.28260395,0.26822826,0.5199293888619418,,,-0.0034134599999999793,23.922763540000233,0.00014268669228577173,1017.4221131836126
112,0.37016502,2746.33097894,0.274633098,0.5191915840398219,,,-0.00914703,64.04837498999996,0.0001428143961698534,1016.5956617459448
113,0.36868558,2756.99389742,0.27569939,0.5179446788991187,,,-0.0014794399999999985,10.662918479999917,0.00013874625438018578,1016.4638941267532
114,0.36681123,2771.07848128,0.277107848,0.5154715896112454,,,-0.0018743500000000246,14.084583859999839,0.0001330781241744808,1016.4627061448487
115,0.35938611,2828.29425114,0.282829425,0.5108209357777969,,,-0.007425120000000007,57.215769860000364,0.00012977401192081393,1016.4496688525677
116,0.35649022,2850.55008301,0.285055008,0.5087050245729435,,,-0.0028958899999999566,22.255831869999838,0.00013011825470219367,1016.1932262132532
117,0.34724506,2924.12527301,0.292412527,0.5071843249320223,,,-0.00924516000000003,73.57519000000002,0.0001256559446176676,1015.3880558738738
118,0.34458867,2946.00653448,0.294600653,0.5048505721994068,,,-0.0026563900000000085,21.881261470000027,0.00012140022198997127,1015.1604735277723
